Topic,Subject,Title,"District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",732591,"(+/- 12035 )"
People,"Sex and Age",Male,352888,"(+/- 6759 )"
People,"Sex and Age",Female,379703,"(+/- 8088 )"
People,"Sex and Age","Under 5 years",41322,"(+/- 3771 )"
People,"Sex and Age","5 to 9 years",40263,"(+/- 3292 )"
People,"Sex and Age","10 to 14 years",43271,"(+/- 3418 )"
People,"Sex and Age","15 to 19 years",44197,"(+/- 2987 )"
People,"Sex and Age","20 to 24 years",42597,"(+/- 3255 )"
People,"Sex and Age","25 to 34 years",75068,"(+/- 5202 )"
People,"Sex and Age","35 to 44 years",84083,"(+/- 4967 )"
People,"Sex and Age","45 to 54 years",105447,"(+/- 4526 )"
People,"Sex and Age","55 to 59 years",56941,"(+/- 3327 )"
People,"Sex and Age","60 to 64 years",54504,"(+/- 3575 )"
People,"Sex and Age","65 to 74 years",74430,"(+/- 3531 )"
People,"Sex and Age","75 to 84 years",43308,"(+/- 3607 )"
People,"Sex and Age","85 years and over",27160,"(+/- 2287 )"
People,"Sex and Age","Median age (years)",44.5,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",578936,"(+/- 10394 )"
People,"Sex and Age","65 years and over",144898,"(+/- 5731 )"
People,Race,"Total population",732591,"(+/- 12035 )"
People,Race,"One race",717757,"(+/- 11957 )"
People,Race,White,549318,"(+/- 13280 )"
People,Race,"Black or African American",20258,"(+/- 3839 )"
People,Race,"American Indian and Alaska Native",1771,"(+/- 1106 )"
People,Race,Asian,114475,"(+/- 8947 )"
People,Race,"Native Hawaiian and Other Pacific Islander",187,"(+/- 199 )"
People,Race,"Some other race",31748,"(+/- 8441 )"
People,Race,"Two or more races",14834,"(+/- 3451 )"
People,"Hispanic or Latino and Race","Total population",732591,"(+/- 12035 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",79024,"(+/- 8700 )"
People,"Hispanic or Latino and Race",Mexican,5094,"(+/- 2358 )"
People,"Hispanic or Latino and Race","Puerto Rican",17619,"(+/- 4826 )"
People,"Hispanic or Latino and Race",Cuban,3293,"(+/- 1315 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",53018,"(+/- 8134 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",653567,"(+/- 11893 )"
People,"Place of Birth","Total population",732591,"(+/- 12035 )"
People,"Place of Birth",Native,567853,"(+/- 11424 )"
People,"Place of Birth","Born in United States",556799,"(+/- 11078 )"
People,"Place of Birth","State of residence",510219,"(+/- 10051 )"
People,"Place of Birth","Different state",46580,"(+/- 3568 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11054,"(+/- 2249 )"
People,"Place of Birth","Foreign born",164738,"(+/- 9193 )"
People,Ancestry,"Total population",732591,"(+/- 12035 )"
People,Ancestry,American,40607,"(+/- 5027 )"
People,Ancestry,Arab,5535,"(+/- 1850 )"
People,Ancestry,Czech,2339,"(+/- 718 )"
People,Ancestry,Danish,1055,"(+/- 470 )"
People,Ancestry,Dutch,3859,"(+/- 1452 )"
People,Ancestry,English,24271,"(+/- 2963 )"
People,Ancestry,"French (except Basque)",8680,"(+/- 2169 )"
People,Ancestry,"French Canadian",2011,"(+/- 802 )"
People,Ancestry,German,68059,"(+/- 4892 )"
People,Ancestry,Greek,16513,"(+/- 2872 )"
People,Ancestry,Hungarian,6420,"(+/- 1573 )"
People,Ancestry,Irish,98801,"(+/- 6565 )"
People,Ancestry,Italian,151568,"(+/- 8454 )"
People,Ancestry,Lithuanian,2999,"(+/- 1134 )"
People,Ancestry,Norwegian,3931,"(+/- 1798 )"
People,Ancestry,Polish,43099,"(+/- 4540 )"
People,Ancestry,Portuguese,2194,"(+/- 936 )"
People,Ancestry,Russian,33660,"(+/- 3641 )"
People,Ancestry,Scotch-Irish,1899,"(+/- 915 )"
People,Ancestry,Scottish,5079,"(+/- 1285 )"
People,Ancestry,Slovak,651,"(+/- 413 )"
People,Ancestry,"Subsaharan African",1172,"(+/- 772 )"
People,Ancestry,Swedish,4711,"(+/- 1040 )"
People,Ancestry,Swiss,1101,"(+/- 579 )"
People,Ancestry,Ukrainian,2959,"(+/- 918 )"
People,Ancestry,Welsh,1106,"(+/- 514 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",8039,"(+/- 2481 )"
People,"Veteran Status","Civilian population 18 years and over",578848,"(+/- 10398 )"
People,"Veteran Status","Civilian veterans",25587,"(+/- 2197 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",725049,"(+/- 11623 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",63041,"(+/- 3972 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",153373,"(+/- 6216 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",2931,"(+/- 788 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",431950,"(+/- 9564 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",20255,"(+/- 2214 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",139726,"(+/- 5471 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39855,"(+/- 2797 )"
People,"Residence 1 Year Ago","Population 1 year and over",726189,"(+/- 11790 )"
