Topic,Subject,Title,"District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",722617,"(+/- 6833 )"
People,"Sex and Age",Male,358588,"(+/- 4218 )"
People,"Sex and Age",Female,364029,"(+/- 3873 )"
People,"Sex and Age","Under 5 years",39846,"(+/- 1762 )"
People,"Sex and Age","5 to 9 years",46572,"(+/- 2685 )"
People,"Sex and Age","10 to 14 years",49125,"(+/- 2552 )"
People,"Sex and Age","15 to 19 years",53481,"(+/- 2364 )"
People,"Sex and Age","20 to 24 years",50848,"(+/- 2125 )"
People,"Sex and Age","25 to 34 years",81500,"(+/- 2466 )"
People,"Sex and Age","35 to 44 years",87826,"(+/- 2523 )"
People,"Sex and Age","45 to 54 years",109498,"(+/- 2526 )"
People,"Sex and Age","55 to 59 years",51301,"(+/- 2647 )"
People,"Sex and Age","60 to 64 years",46973,"(+/- 2680 )"
People,"Sex and Age","65 to 74 years",62300,"(+/- 2032 )"
People,"Sex and Age","75 to 84 years",29385,"(+/- 1756 )"
People,"Sex and Age","85 years and over",13962,"(+/- 1332 )"
People,"Sex and Age","Median age (years)",39.6,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",554341,"(+/- 5265 )"
People,"Sex and Age","65 years and over",105647,"(+/- 2361 )"
People,Race,"Total population",722617,"(+/- 6833 )"
People,Race,"One race",695569,"(+/- 8288 )"
People,Race,White,552745,"(+/- 8167 )"
People,Race,"Black or African American",67372,"(+/- 3837 )"
People,Race,"American Indian and Alaska Native",3951,"(+/- 920 )"
People,Race,Asian,23401,"(+/- 1933 )"
People,Race,"Native Hawaiian and Other Pacific Islander",627,"(+/- 577 )"
People,Race,"Some other race",47473,"(+/- 5861 )"
People,Race,"Two or more races",27048,"(+/- 4430 )"
People,"Hispanic or Latino and Race","Total population",722617,"(+/- 6833 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",117574,"(+/- 4014 )"
People,"Hispanic or Latino and Race",Mexican,23603,"(+/- 4068 )"
People,"Hispanic or Latino and Race","Puerto Rican",45189,"(+/- 4466 )"
People,"Hispanic or Latino and Race",Cuban,1753,"(+/- 1088 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",47029,"(+/- 5749 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",605043,"(+/- 5771 )"
People,"Place of Birth","Total population",722617,"(+/- 6833 )"
People,"Place of Birth",Native,634201,"(+/- 7561 )"
People,"Place of Birth","Born in United States",620449,"(+/- 7776 )"
People,"Place of Birth","State of residence",512478,"(+/- 9119 )"
People,"Place of Birth","Different state",107971,"(+/- 5716 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13752,"(+/- 2425 )"
People,"Place of Birth","Foreign born",88416,"(+/- 4999 )"
People,Ancestry,"Total population",722617,"(+/- 6833 )"
People,Ancestry,American,70810,"(+/- 7283 )"
People,Ancestry,Arab,4017,"(+/- 2026 )"
People,Ancestry,Czech,2067,"(+/- 742 )"
People,Ancestry,Danish,1174,"(+/- 503 )"
People,Ancestry,Dutch,10416,"(+/- 1988 )"
People,Ancestry,English,38238,"(+/- 3195 )"
People,Ancestry,"French (except Basque)",12635,"(+/- 2186 )"
People,Ancestry,"French Canadian",3196,"(+/- 1090 )"
People,Ancestry,German,73906,"(+/- 5070 )"
People,Ancestry,Greek,4726,"(+/- 1496 )"
People,Ancestry,Hungarian,12322,"(+/- 3857 )"
People,Ancestry,Irish,115055,"(+/- 6167 )"
People,Ancestry,Italian,128774,"(+/- 6994 )"
