Topic,Subject,Title,"District 20 Estimate","District 20 MOE"
People,"Sex and Age","Total population",723416,"(+/- 5531 )"
People,"Sex and Age",Male,353637,"(+/- 4170 )"
People,"Sex and Age",Female,369779,"(+/- 3180 )"
People,"Sex and Age","Under 5 years",38799,"(+/- 1563 )"
People,"Sex and Age","5 to 9 years",41275,"(+/- 2993 )"
People,"Sex and Age","10 to 14 years",38452,"(+/- 2581 )"
People,"Sex and Age","15 to 19 years",49932,"(+/- 2131 )"
People,"Sex and Age","20 to 24 years",64116,"(+/- 2212 )"
People,"Sex and Age","25 to 34 years",96939,"(+/- 3276 )"
People,"Sex and Age","35 to 44 years",83206,"(+/- 2969 )"
People,"Sex and Age","45 to 54 years",98200,"(+/- 2705 )"
People,"Sex and Age","55 to 59 years",52185,"(+/- 2702 )"
People,"Sex and Age","60 to 64 years",44230,"(+/- 2686 )"
People,"Sex and Age","65 to 74 years",67213,"(+/- 1771 )"
People,"Sex and Age","75 to 84 years",29057,"(+/- 1774 )"
People,"Sex and Age","85 years and over",19812,"(+/- 1752 )"
People,"Sex and Age","Median age (years)",38.9,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",580579,"(+/- 4427 )"
People,"Sex and Age","65 years and over",116082,"(+/- 2125 )"
People,Race,"Total population",723416,"(+/- 5531 )"
People,Race,"One race",695103,"(+/- 6433 )"
People,Race,White,573867,"(+/- 6522 )"
People,Race,"Black or African American",65567,"(+/- 3794 )"
People,Race,"American Indian and Alaska Native",1521,"(+/- 695 )"
People,Race,Asian,36311,"(+/- 1634 )"
People,Race,"Native Hawaiian and Other Pacific Islander",310,"(+/- 383 )"
People,Race,"Some other race",17527,"(+/- 3472 )"
People,Race,"Two or more races",28313,"(+/- 3522 )"
People,"Hispanic or Latino and Race","Total population",723416,"(+/- 5531 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",45410,"(+/- 1613 )"
People,"Hispanic or Latino and Race",Mexican,3956,"(+/- 1499 )"
People,"Hispanic or Latino and Race","Puerto Rican",26919,"(+/- 2598 )"
People,"Hispanic or Latino and Race",Cuban,1638,"(+/- 1048 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",12897,"(+/- 2562 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",678006,"(+/- 5353 )"
People,"Place of Birth","Total population",723416,"(+/- 5531 )"
People,"Place of Birth",Native,658706,"(+/- 6168 )"
People,"Place of Birth","Born in United States",646508,"(+/- 6358 )"
People,"Place of Birth","State of residence",536973,"(+/- 7699 )"
People,"Place of Birth","Different state",109535,"(+/- 5946 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",12198,"(+/- 2058 )"
People,"Place of Birth","Foreign born",64710,"(+/- 4386 )"
People,Ancestry,"Total population",723416,"(+/- 5531 )"
People,Ancestry,American,28944,"(+/- 3926 )"
People,Ancestry,Arab,6853,"(+/- 2156 )"
People,Ancestry,Czech,2204,"(+/- 845 )"
People,Ancestry,Danish,2008,"(+/- 891 )"
People,Ancestry,Dutch,24987,"(+/- 4195 )"
People,Ancestry,English,59926,"(+/- 4017 )"
People,Ancestry,"French (except Basque)",36359,"(+/- 3693 )"
People,Ancestry,"French Canadian",14048,"(+/- 2393 )"
People,Ancestry,German,117689,"(+/- 6571 )"
People,Ancestry,Greek,5669,"(+/- 1943 )"
People,Ancestry,Hungarian,3535,"(+/- 1013 )"
People,Ancestry,Irish,156461,"(+/- 8447 )"
People,Ancestry,Italian,127079,"(+/- 6478 )"
People,Ancestry,Lithuanian,2926,"(+/- 977 )"
People,Ancestry,Norwegian,4498,"(+/- 1236 )"
People,Ancestry,Polish,47892,"(+/- 4219 )"
People,Ancestry,Portuguese,591,"(+/- 335 )"
People,Ancestry,Russian,11578,"(+/- 2307 )"
People,Ancestry,Scotch-Irish,3941,"(+/- 1297 )"
People,Ancestry,Scottish,12508,"(+/- 2432 )"
People,Ancestry,Slovak,1554,"(+/- 723 )"
People,Ancestry,"Subsaharan African",3832,"(+/- 1210 )"
People,Ancestry,Swedish,5295,"(+/- 1245 )"
People,Ancestry,Swiss,2168,"(+/- 1501 )"
People,Ancestry,Ukrainian,6450,"(+/- 1661 )"
People,Ancestry,Welsh,5341,"(+/- 1347 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",12093,"(+/- 3257 )"
People,"Veteran Status","Civilian population 18 years and over",577664,"(+/- 4543 )"
People,"Veteran Status","Civilian veterans",39779,"(+/- 2817 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",712183,"(+/- 5976 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",81656,"(+/- 4040 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",142172,"(+/- 2261 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5211,"(+/- 1032 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",459842,"(+/- 4509 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44510,"(+/- 3545 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",110169,"(+/- 2299 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",31935,"(+/- 2302 )"
People,"Residence 1 Year Ago","Population 1 year and over",715197,"(+/- 5545 )"
People,"Residence 1 Year Ago","Same house",604968,"(+/- 9061 )"
People,"Residence 1 Year Ago","Different house in the U.S.",102627,"(+/- 6360 )"
People,"Residence 1 Year Ago","Same county",52333,"(+/- 5088 )"
People,"Residence 1 Year Ago","Different county",50294,"(+/- 4780 )"
People,"Residence 1 Year Ago","Same state",33200,"(+/- 3757 )"
People,"Residence 1 Year Ago","Different state",17094,"(+/- 3450 )"
People,"Residence 1 Year Ago",Abroad,7602,"(+/- 2046 )"
Workers,"Employment Status","Population 16 years and over",597083,"(+/- 4456 )"
Workers,"Employment Status","In labor force",390121,"(+/- 6877 )"
Workers,"Employment Status","Civilian labor force",387206,"(+/- 6833 )"
Workers,"Employment Status",Employed,367229,"(+/- 7089 )"
Workers,"Employment Status",Unemployed,19977,"(+/- 2338 )"
Workers,"Employment Status","Armed Forces",2915,"(+/- 1520 )"
Workers,"Employment Status","Not in labor force",206962,"(+/- 5031 )"
Workers,"Employment Status","Civilian labor force",387206,"(+/- 6833 )"
Workers,"Employment Status","Unemployment Rate",5.2,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",361791,"(+/- 7075 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",284741,"(+/- 7039 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",25167,"(+/- 2661 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",16781,"(+/- 2641 )"
Workers,"Commuting to Work",Walked,14457,"(+/- 2406 )"
Workers,"Commuting to Work","Other means",4954,"(+/- 1211 )"
Workers,"Commuting to Work","Worked at home",15691,"(+/- 2015 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.4,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",367229,"(+/- 7089 )"
Workers,Occupation,"Management, business, science, and arts occupations",157433,"(+/- 5901 )"
Workers,Occupation,"Service occupations",63748,"(+/- 4704 )"
Workers,Occupation,"Sales and office occupations",93208,"(+/- 4610 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",20673,"(+/- 2061 )"
Workers,Occupation,"Production, transportation, and material moving occupations",32167,"(+/- 2936 )"
Workers,Industry,"Civilian employed population 16 years and over",367229,"(+/- 7089 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1417,"(+/- 599 )"
Workers,Industry,Construction,16053,"(+/- 2251 )"
Workers,Industry,Manufacturing,24992,"(+/- 2614 )"
Workers,Industry,"Wholesale trade",7813,"(+/- 1345 )"
Workers,Industry,"Retail trade",43750,"(+/- 3846 )"
Workers,Industry,"Transportation and warehousing, and utilities",12277,"(+/- 1937 )"
Workers,Industry,Information,6728,"(+/- 1405 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24226,"(+/- 2622 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",42881,"(+/- 3111 )"
Workers,Industry,"Educational services, and health care and social assistance",100698,"(+/- 5498 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",33494,"(+/- 3471 )"
Workers,Industry,"Other services, except public administration",15687,"(+/- 1796 )"
Workers,Industry,"Public administration",37213,"(+/- 3033 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",367229,"(+/- 7089 )"
Workers,"Class of Worker","Private wage and salary workers",273733,"(+/- 7226 )"
Workers,"Class of Worker","Government workers",78412,"(+/- 4708 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",14794,"(+/- 2176 )"
Workers,"Class of Worker","Unpaid family workers",290,"(+/- 269 )"
Housing,"Housing Occupancy","Total housing units",325898,"(+/- 2562 )"
Housing,"Housing Occupancy","Occupied housing units",279485,"(+/- 3761 )"
Housing,"Housing Occupancy","Vacant housing units",46413,"(+/- 3459 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.7,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.2,"(+/- 1.0 )"
Housing,"Housing Tenure","Occupied housing units",279485,"(+/- 3761 )"
Housing,"Housing Tenure",Owner-occupied,166179,"(+/- 3493 )"
Housing,"Housing Tenure",Renter-occupied,113306,"(+/- 3864 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.69,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.16,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",279485,"(+/- 3761 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",54235,"(+/- 3343 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",73139,"(+/- 3611 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",68564,"(+/- 3504 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",35285,"(+/- 2283 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",22754,"(+/- 1821 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",25508,"(+/- 1611 )"
Housing,Value,"Owner-occupied units",166179,"(+/- 3493 )"
Housing,Value,"Less than $50,000",5499,"(+/- 895 )"
Housing,Value,"$50,000 to $99,999",14746,"(+/- 1420 )"
Housing,Value,"$100,000 to $149,999",22088,"(+/- 2066 )"
Housing,Value,"$150,000 to $199,999",33745,"(+/- 2705 )"
Housing,Value,"$200,000 to $299,999",48973,"(+/- 2786 )"
Housing,Value,"$300,000 to $499,999",33150,"(+/- 1849 )"
Housing,Value,"$500,000 to $999,999",6573,"(+/- 1011 )"
Housing,Value,"$1,000,000 or more",1405,"(+/- 578 )"
Housing,Value,"Median (dollars)",211800,"(+/- 4111 )"
Housing,"Mortgage Status","Owner-occupied units",166179,"(+/- 3493 )"
Housing,"Mortgage Status","Housing units with a mortgage",106503,"(+/- 3432 )"
Housing,"Mortgage Status","Housing units without a mortgage",59676,"(+/- 2776 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",106503,"(+/- 3432 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",349,"(+/- 224 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",12256,"(+/- 1626 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",33816,"(+/- 2723 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",28655,"(+/- 1959 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",15627,"(+/- 1864 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",8309,"(+/- 1373 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7491,"(+/- 1102 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1599,"(+/- 32 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",59676,"(+/- 2776 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2866,"(+/- 749 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",9130,"(+/- 1218 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",18868,"(+/- 1900 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",14713,"(+/- 1563 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6471,"(+/- 1033 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",7628,"(+/- 1216 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",590,"(+/- 18 )"
Housing,"Gross Rent","Occupied units paying rent",110653,"(+/- 3959 )"
Housing,"Gross Rent","Less than $500",10709,"(+/- 1578 )"
Housing,"Gross Rent","$500 to $999",53569,"(+/- 3868 )"
Housing,"Gross Rent","$1,000 to $1,499",35003,"(+/- 2953 )"
Housing,"Gross Rent","$1,500 to $1,999",7146,"(+/- 1234 )"
Housing,"Gross Rent","$2,000 to $2,499",2798,"(+/- 1059 )"
Housing,"Gross Rent","$2,500 to $2,999",769,"(+/- 412 )"
Housing,"Gross Rent","$3,000 or more",659,"(+/- 405 )"
Housing,"Gross Rent","Median (dollars)",930,"(+/- 22 )"
Housing,"Gross Rent","No rent paid",2653,"(+/- 917 )"
