Topic,Subject,Title,"District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population",691715,"(+/- 20462 )"
People,"Sex and Age",Male,347962,"(+/- 10963 )"
People,"Sex and Age",Female,343753,"(+/- 12382 )"
People,"Sex and Age","Under 5 years",46370,"(+/- 3801 )"
People,"Sex and Age","5 to 9 years",40798,"(+/- 4820 )"
People,"Sex and Age","10 to 14 years",34936,"(+/- 3005 )"
People,"Sex and Age","15 to 19 years",35418,"(+/- 3237 )"
People,"Sex and Age","20 to 24 years",41408,"(+/- 3661 )"
People,"Sex and Age","25 to 34 years",115774,"(+/- 6985 )"
People,"Sex and Age","35 to 44 years",111099,"(+/- 5459 )"
People,"Sex and Age","45 to 54 years",93970,"(+/- 5090 )"
People,"Sex and Age","55 to 59 years",39385,"(+/- 3280 )"
People,"Sex and Age","60 to 64 years",36797,"(+/- 3393 )"
People,"Sex and Age","65 to 74 years",52692,"(+/- 3786 )"
People,"Sex and Age","75 to 84 years",29111,"(+/- 2494 )"
People,"Sex and Age","85 years and over",13957,"(+/- 1718 )"
People,"Sex and Age","Median age (years)",37.6,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",549514,"(+/- 15219 )"
People,"Sex and Age","65 years and over",95760,"(+/- 4741 )"
People,Race,"Total population",691715,"(+/- 20462 )"
People,Race,"One race",666071,"(+/- 20975 )"
People,Race,White,314005,"(+/- 13544 )"
People,Race,"Black or African American",78757,"(+/- 7623 )"
People,Race,"American Indian and Alaska Native",3095,"(+/- 1190 )"
People,Race,Asian,112368,"(+/- 8040 )"
People,Race,"Native Hawaiian and Other Pacific Islander",363,"(+/- 384 )"
People,Race,"Some other race",157483,"(+/- 12047 )"
People,Race,"Two or more races",25644,"(+/- 4375 )"
People,"Hispanic or Latino and Race","Total population",691715,"(+/- 20462 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",344481,"(+/- 16387 )"
People,"Hispanic or Latino and Race",Mexican,64761,"(+/- 10250 )"
People,"Hispanic or Latino and Race","Puerto Rican",71531,"(+/- 7738 )"
People,"Hispanic or Latino and Race",Cuban,6513,"(+/- 1853 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",201676,"(+/- 13633 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",347234,"(+/- 12786 )"
People,"Place of Birth","Total population",691715,"(+/- 20462 )"
People,"Place of Birth",Native,374774,"(+/- 14147 )"
People,"Place of Birth","Born in United States",346578,"(+/- 14170 )"
People,"Place of Birth","State of residence",310261,"(+/- 13380 )"
People,"Place of Birth","Different state",36317,"(+/- 2949 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",28196,"(+/- 3231 )"
People,"Place of Birth","Foreign born",316941,"(+/- 12237 )"
People,Ancestry,"Total population",691715,"(+/- 20462 )"
People,Ancestry,American,20242,"(+/- 4031 )"
People,Ancestry,Arab,9642,"(+/- 2865 )"
People,Ancestry,Czech,764,"(+/- 330 )"
People,Ancestry,Danish,490,"(+/- 458 )"
People,Ancestry,Dutch,528,"(+/- 294 )"
People,Ancestry,English,4574,"(+/- 826 )"
People,Ancestry,"French (except Basque)",3910,"(+/- 1497 )"
People,Ancestry,"French Canadian",956,"(+/- 569 )"
People,Ancestry,German,13233,"(+/- 2037 )"
People,Ancestry,Greek,10254,"(+/- 2558 )"
People,Ancestry,Hungarian,994,"(+/- 445 )"
People,Ancestry,Irish,26002,"(+/- 3483 )"
People,Ancestry,Italian,45684,"(+/- 4398 )"
People,Ancestry,Lithuanian,497,"(+/- 359 )"
People,Ancestry,Norwegian,487,"(+/- 342 )"
People,Ancestry,Polish,6557,"(+/- 1447 )"
People,Ancestry,Portuguese,1980,"(+/- 940 )"
People,Ancestry,Russian,5702,"(+/- 2181 )"
People,Ancestry,Scotch-Irish,484,"(+/- 231 )"
People,Ancestry,Scottish,1620,"(+/- 744 )"
