Topic,Subject,Title,"District 15 Estimate","District 15 MOE"
People,"Sex and Age","Total population",768801,"(+/- 19325 )"
People,"Sex and Age",Male,361988,"(+/- 10933 )"
People,"Sex and Age",Female,406813,"(+/- 10422 )"
People,"Sex and Age","Under 5 years",59577,"(+/- 3504 )"
People,"Sex and Age","5 to 9 years",64012,"(+/- 4051 )"
People,"Sex and Age","10 to 14 years",57256,"(+/- 3514 )"
People,"Sex and Age","15 to 19 years",59370,"(+/- 3262 )"
People,"Sex and Age","20 to 24 years",68610,"(+/- 3272 )"
People,"Sex and Age","25 to 34 years",125240,"(+/- 5598 )"
People,"Sex and Age","35 to 44 years",93490,"(+/- 3990 )"
People,"Sex and Age","45 to 54 years",95129,"(+/- 4262 )"
People,"Sex and Age","55 to 59 years",40474,"(+/- 3083 )"
People,"Sex and Age","60 to 64 years",34711,"(+/- 2894 )"
People,"Sex and Age","65 to 74 years",43551,"(+/- 2553 )"
People,"Sex and Age","75 to 84 years",19818,"(+/- 1798 )"
People,"Sex and Age","85 years and over",7563,"(+/- 1282 )"
People,"Sex and Age","Median age (years)",30.7,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",551814,"(+/- 13872 )"
People,"Sex and Age","65 years and over",70932,"(+/- 3178 )"
People,Race,"Total population",768801,"(+/- 19325 )"
People,Race,"One race",738355,"(+/- 19867 )"
People,Race,White,118476,"(+/- 9877 )"
People,Race,"Black or African American",244516,"(+/- 12934 )"
People,Race,"American Indian and Alaska Native",5201,"(+/- 1916 )"
People,Race,Asian,16114,"(+/- 3134 )"
People,Race,"Native Hawaiian and Other Pacific Islander",247,"(+/- 397 )"
People,Race,"Some other race",353801,"(+/- 16444 )"
People,Race,"Two or more races",30446,"(+/- 4913 )"
People,"Hispanic or Latino and Race","Total population",768801,"(+/- 19325 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",514886,"(+/- 14999 )"
People,"Hispanic or Latino and Race",Mexican,52404,"(+/- 8707 )"
People,"Hispanic or Latino and Race","Puerto Rican",158207,"(+/- 11323 )"
People,"Hispanic or Latino and Race",Cuban,3170,"(+/- 1410 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",301105,"(+/- 14370 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",253915,"(+/- 13340 )"
People,"Place of Birth","Total population",768801,"(+/- 19325 )"
People,"Place of Birth",Native,475065,"(+/- 15211 )"
People,"Place of Birth","Born in United States",416623,"(+/- 14548 )"
People,"Place of Birth","State of residence",378293,"(+/- 13926 )"
People,"Place of Birth","Different state",38330,"(+/- 4044 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",58442,"(+/- 4238 )"
People,"Place of Birth","Foreign born",293736,"(+/- 12116 )"
People,Ancestry,"Total population",768801,"(+/- 19325 )"
People,Ancestry,American,15973,"(+/- 3624 )"
People,Ancestry,Arab,6618,"(+/- 3405 )"
People,Ancestry,Czech,108,"(+/- 127 )"
People,Ancestry,Danish,0,"(+/- 192 )"
People,Ancestry,Dutch,261,"(+/- 248 )"
People,Ancestry,English,416,"(+/- 197 )"
People,Ancestry,"French (except Basque)",603,"(+/- 387 )"
People,Ancestry,"French Canadian",0,"(+/- 192 )"
People,Ancestry,German,2834,"(+/- 1393 )"
People,Ancestry,Greek,361,"(+/- 285 )"
People,Ancestry,Hungarian,141,"(+/- 109 )"
People,Ancestry,Irish,4338,"(+/- 1987 )"
People,Ancestry,Italian,6729,"(+/- 1350 )"
People,Ancestry,Lithuanian,92,"(+/- 152 )"
People,Ancestry,Norwegian,0,"(+/- 192 )"
People,Ancestry,Polish,1660,"(+/- 867 )"
People,Ancestry,Portuguese,0,"(+/- 192 )"
People,Ancestry,Russian,437,"(+/- 275 )"
People,Ancestry,Scotch-Irish,64,"(+/- 110 )"
People,Ancestry,Scottish,164,"(+/- 153 )"
People,Ancestry,Slovak,119,"(+/- 117 )"
People,Ancestry,"Subsaharan African",54022,"(+/- 9104 )"
People,Ancestry,Swedish,0,"(+/- 192 )"
People,Ancestry,Swiss,0,"(+/- 192 )"
People,Ancestry,Ukrainian,139,"(+/- 177 )"
People,Ancestry,Welsh,178,"(+/- 180 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",29983,"(+/- 4559 )"
People,"Veteran Status","Civilian population 18 years and over",551665,"(+/- 13888 )"
People,"Veteran Status","Civilian veterans",9999,"(+/- 2045 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",765494,"(+/- 19152 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",117242,"(+/- 5992 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",216756,"(+/- 8103 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",14492,"(+/- 2907 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",479077,"(+/- 13262 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",69111,"(+/- 3850 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",69661,"(+/- 3098 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33639,"(+/- 2486 )"
People,"Residence 1 Year Ago","Population 1 year and over",758281,"(+/- 19120 )"
People,"Residence 1 Year Ago","Same house",699181,"(+/- 17768 )"
People,"Residence 1 Year Ago","Different house in the U.S.",49973,"(+/- 6049 )"
People,"Residence 1 Year Ago","Same county",35452,"(+/- 5557 )"
People,"Residence 1 Year Ago","Different county",14521,"(+/- 2456 )"
People,"Residence 1 Year Ago","Same state",10439,"(+/- 2111 )"
People,"Residence 1 Year Ago","Different state",4082,"(+/- 1237 )"
People,"Residence 1 Year Ago",Abroad,9127,"(+/- 2213 )"
Workers,"Employment Status","Population 16 years and over",575296,"(+/- 14711 )"
Workers,"Employment Status","In labor force",336865,"(+/- 10955 )"
Workers,"Employment Status","Civilian labor force",336716,"(+/- 10958 )"
Workers,"Employment Status",Employed,299197,"(+/- 10306 )"
Workers,"Employment Status",Unemployed,37519,"(+/- 3863 )"
Workers,"Employment Status","Armed Forces",149,"(+/- 143 )"
Workers,"Employment Status","Not in labor force",238431,"(+/- 9209 )"
Workers,"Employment Status","Civilian labor force",336716,"(+/- 10958 )"
Workers,"Employment Status","Unemployment Rate",11.1,"(+/- 1.1 )"
