Topic,Subject,Title,"District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",720133,"(+/- 6294 )"
People,"Sex and Age",Male,362172,"(+/- 4803 )"
People,"Sex and Age",Female,357961,"(+/- 4604 )"
People,"Sex and Age","Under 5 years",33704,"(+/- 2045 )"
People,"Sex and Age","5 to 9 years",38405,"(+/- 2654 )"
People,"Sex and Age","10 to 14 years",45516,"(+/- 2759 )"
People,"Sex and Age","15 to 19 years",45917,"(+/- 2362 )"
People,"Sex and Age","20 to 24 years",42696,"(+/- 2667 )"
People,"Sex and Age","25 to 34 years",84731,"(+/- 3662 )"
People,"Sex and Age","35 to 44 years",82392,"(+/- 3423 )"
People,"Sex and Age","45 to 54 years",109882,"(+/- 3202 )"
People,"Sex and Age","55 to 59 years",53658,"(+/- 2659 )"
People,"Sex and Age","60 to 64 years",54268,"(+/- 3069 )"
People,"Sex and Age","65 to 74 years",75096,"(+/- 2744 )"
People,"Sex and Age","75 to 84 years",37188,"(+/- 2384 )"
People,"Sex and Age","85 years and over",16680,"(+/- 1592 )"
People,"Sex and Age","Median age (years)",43.6,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",574456,"(+/- 5608 )"
People,"Sex and Age","65 years and over",128964,"(+/- 3891 )"
People,Race,"Total population",720133,"(+/- 6294 )"
People,Race,"One race",706603,"(+/- 6288 )"
People,Race,White,669976,"(+/- 6219 )"
People,Race,"Black or African American",18097,"(+/- 2465 )"
People,Race,"American Indian and Alaska Native",5615,"(+/- 1433 )"
People,Race,Asian,7122,"(+/- 1403 )"
People,Race,"Native Hawaiian and Other Pacific Islander",301,"(+/- 261 )"
People,Race,"Some other race",5492,"(+/- 1169 )"
People,Race,"Two or more races",13530,"(+/- 1877 )"
People,"Hispanic or Latino and Race","Total population",720133,"(+/- 6294 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",20407,"(+/- 2445 )"
People,"Hispanic or Latino and Race",Mexican,6091,"(+/- 1352 )"
People,"Hispanic or Latino and Race","Puerto Rican",8534,"(+/- 1985 )"
People,"Hispanic or Latino and Race",Cuban,173,"(+/- 247 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5609,"(+/- 1844 )"
