Topic,Subject,Title,"District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",738674,"(+/- 19050 )"
People,"Sex and Age",Male,342061,"(+/- 10455 )"
People,"Sex and Age",Female,396613,"(+/- 10846 )"
People,"Sex and Age","Under 5 years",49497,"(+/- 3904 )"
People,"Sex and Age","5 to 9 years",50409,"(+/- 3982 )"
People,"Sex and Age","10 to 14 years",45646,"(+/- 3880 )"
People,"Sex and Age","15 to 19 years",41610,"(+/- 2814 )"
People,"Sex and Age","20 to 24 years",45333,"(+/- 3262 )"
People,"Sex and Age","25 to 34 years",120159,"(+/- 5759 )"
People,"Sex and Age","35 to 44 years",103539,"(+/- 5350 )"
People,"Sex and Age","45 to 54 years",92985,"(+/- 3950 )"
People,"Sex and Age","55 to 59 years",47158,"(+/- 3291 )"
People,"Sex and Age","60 to 64 years",43892,"(+/- 3078 )"
People,"Sex and Age","65 to 74 years",60246,"(+/- 2585 )"
People,"Sex and Age","75 to 84 years",25027,"(+/- 2042 )"
People,"Sex and Age","85 years and over",13173,"(+/- 1496 )"
People,"Sex and Age","Median age (years)",36.4,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",565827,"(+/- 13649 )"
People,"Sex and Age","65 years and over",98446,"(+/- 3506 )"
People,Race,"Total population",738674,"(+/- 19050 )"
People,Race,"One race",714896,"(+/- 19032 )"
People,Race,White,256461,"(+/- 9756 )"
People,Race,"Black or African American",365421,"(+/- 12237 )"
People,Race,"American Indian and Alaska Native",1203,"(+/- 660 )"
People,Race,Asian,51299,"(+/- 6511 )"
People,Race,"Native Hawaiian and Other Pacific Islander",111,"(+/- 191 )"
People,Race,"Some other race",40401,"(+/- 7355 )"
People,Race,"Two or more races",23778,"(+/- 4179 )"
People,"Hispanic or Latino and Race","Total population",738674,"(+/- 19050 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",88799,"(+/- 8952 )"
People,"Hispanic or Latino and Race",Mexican,19728,"(+/- 5405 )"
People,"Hispanic or Latino and Race","Puerto Rican",21537,"(+/- 3440 )"
People,"Hispanic or Latino and Race",Cuban,1670,"(+/- 695 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",45864,"(+/- 6882 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",649875,"(+/- 18322 )"
People,"Place of Birth","Total population",738674,"(+/- 19050 )"
People,"Place of Birth",Native,442420,"(+/- 14728 )"
People,"Place of Birth","Born in United States",426721,"(+/- 14316 )"
People,"Place of Birth","State of residence",343919,"(+/- 13040 )"
People,"Place of Birth","Different state",82802,"(+/- 5252 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",15699,"(+/- 2182 )"
People,"Place of Birth","Foreign born",296254,"(+/- 10665 )"
People,Ancestry,"Total population",738674,"(+/- 19050 )"
People,Ancestry,American,44897,"(+/- 4938 )"
People,Ancestry,Arab,11491,"(+/- 3182 )"
People,Ancestry,Czech,925,"(+/- 396 )"
People,Ancestry,Danish,476,"(+/- 317 )"
