Topic,Subject,Title,"District 24 Estimate","District 24 MOE"
People,"Sex and Age","Total population",707479,"(+/- 2961 )"
People,"Sex and Age",Male,345260,"(+/- 2220 )"
People,"Sex and Age",Female,362219,"(+/- 2194 )"
People,"Sex and Age","Under 5 years",38637,"(+/- 1053 )"
People,"Sex and Age","5 to 9 years",42235,"(+/- 2013 )"
People,"Sex and Age","10 to 14 years",41856,"(+/- 2091 )"
People,"Sex and Age","15 to 19 years",52498,"(+/- 1365 )"
People,"Sex and Age","20 to 24 years",49458,"(+/- 1284 )"
People,"Sex and Age","25 to 34 years",88819,"(+/- 1278 )"
People,"Sex and Age","35 to 44 years",79092,"(+/- 1405 )"
People,"Sex and Age","45 to 54 years",98244,"(+/- 1523 )"
People,"Sex and Age","55 to 59 years",54515,"(+/- 2334 )"
People,"Sex and Age","60 to 64 years",46272,"(+/- 2560 )"
People,"Sex and Age","65 to 74 years",66004,"(+/- 968 )"
People,"Sex and Age","75 to 84 years",32185,"(+/- 1557 )"
People,"Sex and Age","85 years and over",17664,"(+/- 1544 )"
People,"Sex and Age","Median age (years)",39.6,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",557539,"(+/- 1974 )"
People,"Sex and Age","65 years and over",115853,"(+/- 1154 )"
People,Race,"Total population",707479,"(+/- 2961 )"
People,Race,"One race",685442,"(+/- 3563 )"
People,Race,White,596076,"(+/- 3655 )"
People,Race,"Black or African American",59776,"(+/- 2003 )"
People,Race,"American Indian and Alaska Native",2138,"(+/- 675 )"
People,Race,Asian,19240,"(+/- 1188 )"
People,Race,"Native Hawaiian and Other Pacific Islander",149,"(+/- 151 )"
People,Race,"Some other race",8063,"(+/- 2070 )"
People,Race,"Two or more races",22037,"(+/- 2506 )"
People,"Hispanic or Latino and Race","Total population",707479,"(+/- 2961 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",31101,"(+/- 449 )"
People,"Hispanic or Latino and Race",Mexican,5373,"(+/- 1775 )"
People,"Hispanic or Latino and Race","Puerto Rican",12307,"(+/- 1747 )"
People,"Hispanic or Latino and Race",Cuban,3400,"(+/- 1084 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",10021,"(+/- 1588 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",676378,"(+/- 2969 )"
People,"Place of Birth","Total population",707479,"(+/- 2961 )"
People,"Place of Birth",Native,664799,"(+/- 4644 )"
People,"Place of Birth","Born in United States",657173,"(+/- 4868 )"
People,"Place of Birth","State of residence",562524,"(+/- 6462 )"
People,"Place of Birth","Different state",94649,"(+/- 5375 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7626,"(+/- 1334 )"
People,"Place of Birth","Foreign born",42680,"(+/- 3361 )"
People,Ancestry,"Total population",707479,"(+/- 2961 )"
People,Ancestry,American,22913,"(+/- 2908 )"
People,Ancestry,Arab,5313,"(+/- 2138 )"
People,Ancestry,Czech,1767,"(+/- 685 )"
People,Ancestry,Danish,2059,"(+/- 558 )"
People,Ancestry,Dutch,25439,"(+/- 3291 )"
People,Ancestry,English,81210,"(+/- 5394 )"
People,Ancestry,"French (except Basque)",33688,"(+/- 3356 )"
People,Ancestry,"French Canadian",12842,"(+/- 2419 )"
People,Ancestry,German,124875,"(+/- 6458 )"
People,Ancestry,Greek,2217,"(+/- 967 )"
People,Ancestry,Hungarian,2756,"(+/- 890 )"
People,Ancestry,Irish,154004,"(+/- 7602 )"
People,Ancestry,Italian,110364,"(+/- 6038 )"
People,Ancestry,Lithuanian,1060,"(+/- 378 )"
People,Ancestry,Norwegian,2337,"(+/- 689 )"
People,Ancestry,Polish,44296,"(+/- 3815 )"
People,Ancestry,Portuguese,1886,"(+/- 805 )"
People,Ancestry,Russian,7131,"(+/- 1588 )"
People,Ancestry,Scotch-Irish,4196,"(+/- 979 )"
People,Ancestry,Scottish,11640,"(+/- 1759 )"
People,Ancestry,Slovak,1277,"(+/- 644 )"
People,Ancestry,"Subsaharan African",5069,"(+/- 2054 )"
People,Ancestry,Swedish,3588,"(+/- 908 )"
People,Ancestry,Swiss,2203,"(+/- 779 )"
People,Ancestry,Ukrainian,8871,"(+/- 1754 )"
People,Ancestry,Welsh,5199,"(+/- 1111 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3926,"(+/- 1381 )"
People,"Veteran Status","Civilian population 18 years and over",557449,"(+/- 1988 )"
People,"Veteran Status","Civilian veterans",42833,"(+/- 2696 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",697572,"(+/- 3710 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90918,"(+/- 4028 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",149807,"(+/- 1774 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8869,"(+/- 1403 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",435894,"(+/- 2644 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48353,"(+/- 3429 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",111871,"(+/- 1481 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33696,"(+/- 2062 )"
People,"Residence 1 Year Ago","Population 1 year and over",701835,"(+/- 2919 )"
People,"Residence 1 Year Ago","Same house",601621,"(+/- 7397 )"
People,"Residence 1 Year Ago","Different house in the U.S.",94329,"(+/- 6602 )"
People,"Residence 1 Year Ago","Same county",60434,"(+/- 5673 )"
