Topic,Subject,Title,"District 10 Estimate","District 10 MOE"
People,"Sex and Age","Total population",708960,"(+/- 18585 )"
People,"Sex and Age",Male,347200,"(+/- 11103 )"
People,"Sex and Age",Female,361760,"(+/- 10806 )"
People,"Sex and Age","Under 5 years",51297,"(+/- 3909 )"
People,"Sex and Age","5 to 9 years",36537,"(+/- 2901 )"
People,"Sex and Age","10 to 14 years",31347,"(+/- 2975 )"
People,"Sex and Age","15 to 19 years",32786,"(+/- 3388 )"
People,"Sex and Age","20 to 24 years",46762,"(+/- 3977 )"
People,"Sex and Age","25 to 34 years",131308,"(+/- 7835 )"
People,"Sex and Age","35 to 44 years",109872,"(+/- 5596 )"
People,"Sex and Age","45 to 54 years",81576,"(+/- 4986 )"
People,"Sex and Age","55 to 59 years",41769,"(+/- 3855 )"
People,"Sex and Age","60 to 64 years",40128,"(+/- 3921 )"
People,"Sex and Age","65 to 74 years",61072,"(+/- 3703 )"
People,"Sex and Age","75 to 84 years",27446,"(+/- 2719 )"
People,"Sex and Age","85 years and over",17060,"(+/- 2546 )"
People,"Sex and Age","Median age (years)",37.1,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",572704,"(+/- 13221 )"
People,"Sex and Age","65 years and over",105578,"(+/- 5207 )"
People,Race,"Total population",708960,"(+/- 18585 )"
People,Race,"One race",693881,"(+/- 18389 )"
People,Race,White,497928,"(+/- 13925 )"
People,Race,"Black or African American",25223,"(+/- 4276 )"
People,Race,"American Indian and Alaska Native",2175,"(+/- 1364 )"
People,Race,Asian,136876,"(+/- 8235 )"
People,Race,"Native Hawaiian and Other Pacific Islander",176,"(+/- 168 )"
People,Race,"Some other race",31503,"(+/- 6289 )"
People,Race,"Two or more races",15079,"(+/- 2442 )"
People,"Hispanic or Latino and Race","Total population",708960,"(+/- 18585 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",87634,"(+/- 9550 )"
People,"Hispanic or Latino and Race",Mexican,23892,"(+/- 4184 )"
