Topic,Subject,Title,"District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population",753744,"(+/- 16877 )"
People,"Sex and Age",Male,359146,"(+/- 10560 )"
People,"Sex and Age",Female,394598,"(+/- 9029 )"
People,"Sex and Age","Under 5 years",43978,"(+/- 3316 )"
People,"Sex and Age","5 to 9 years",39583,"(+/- 3748 )"
People,"Sex and Age","10 to 14 years",37110,"(+/- 3356 )"
People,"Sex and Age","15 to 19 years",36299,"(+/- 2972 )"
People,"Sex and Age","20 to 24 years",40555,"(+/- 2869 )"
People,"Sex and Age","25 to 34 years",120102,"(+/- 6020 )"
People,"Sex and Age","35 to 44 years",105490,"(+/- 4317 )"
People,"Sex and Age","45 to 54 years",103322,"(+/- 4574 )"
People,"Sex and Age","55 to 59 years",57483,"(+/- 3409 )"
People,"Sex and Age","60 to 64 years",51977,"(+/- 3831 )"
People,"Sex and Age","65 to 74 years",66820,"(+/- 3089 )"
People,"Sex and Age","75 to 84 years",33897,"(+/- 2246 )"
People,"Sex and Age","85 years and over",17128,"(+/- 1958 )"
People,"Sex and Age","Median age (years)",40.4,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",608710,"(+/- 12761 )"
People,"Sex and Age","65 years and over",117845,"(+/- 3869 )"
People,Race,"Total population",753744,"(+/- 16877 )"
People,Race,"One race",729363,"(+/- 16859 )"
People,Race,White,329853,"(+/- 10604 )"
People,Race,"Black or African American",30535,"(+/- 4371 )"
People,Race,"American Indian and Alaska Native",2002,"(+/- 986 )"
People,Race,Asian,299928,"(+/- 13657 )"
People,Race,"Native Hawaiian and Other Pacific Islander",344,"(+/- 292 )"
People,Race,"Some other race",66701,"(+/- 9382 )"
People,Race,"Two or more races",24381,"(+/- 4422 )"
People,"Hispanic or Latino and Race","Total population",753744,"(+/- 16877 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",145205,"(+/- 10780 )"
People,"Hispanic or Latino and Race",Mexican,15678,"(+/- 4976 )"
People,"Hispanic or Latino and Race","Puerto Rican",30625,"(+/- 4660 )"
People,"Hispanic or Latino and Race",Cuban,2074,"(+/- 666 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",96828,"(+/- 9212 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",608539,"(+/- 14951 )"
People,"Place of Birth","Total population",753744,"(+/- 16877 )"
People,"Place of Birth",Native,368589,"(+/- 9740 )"
People,"Place of Birth","Born in United States",352596,"(+/- 10018 )"
People,"Place of Birth","State of residence",322736,"(+/- 9697 )"
People,"Place of Birth","Different state",29860,"(+/- 2718 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",15993,"(+/- 2262 )"
People,"Place of Birth","Foreign born",385155,"(+/- 12908 )"
People,Ancestry,"Total population",753744,"(+/- 16877 )"
People,Ancestry,American,31263,"(+/- 4003 )"
People,Ancestry,Arab,8222,"(+/- 2458 )"
People,Ancestry,Czech,1917,"(+/- 1437 )"
People,Ancestry,Danish,376,"(+/- 353 )"
People,Ancestry,Dutch,950,"(+/- 538 )"
People,Ancestry,English,5474,"(+/- 1367 )"
People,Ancestry,"French (except Basque)",3585,"(+/- 1332 )"
People,Ancestry,"French Canadian",304,"(+/- 212 )"
People,Ancestry,German,23782,"(+/- 2555 )"
People,Ancestry,Greek,9757,"(+/- 2467 )"
People,Ancestry,Hungarian,5135,"(+/- 1756 )"
People,Ancestry,Irish,29637,"(+/- 3674 )"
People,Ancestry,Italian,47507,"(+/- 4397 )"
People,Ancestry,Lithuanian,1166,"(+/- 477 )"
People,Ancestry,Norwegian,975,"(+/- 477 )"
People,Ancestry,Polish,34172,"(+/- 4148 )"
People,Ancestry,Portuguese,1260,"(+/- 624 )"
People,Ancestry,Russian,22837,"(+/- 4248 )"
People,Ancestry,Scotch-Irish,396,"(+/- 221 )"
People,Ancestry,Scottish,1659,"(+/- 620 )"
People,Ancestry,Slovak,701,"(+/- 639 )"
People,Ancestry,"Subsaharan African",2363,"(+/- 1069 )"
People,Ancestry,Swedish,774,"(+/- 428 )"
People,Ancestry,Swiss,309,"(+/- 202 )"
People,Ancestry,Ukrainian,5609,"(+/- 2073 )"
People,Ancestry,Welsh,367,"(+/- 232 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",12952,"(+/- 3043 )"
People,"Veteran Status","Civilian population 18 years and over",608390,"(+/- 12711 )"
People,"Veteran Status","Civilian veterans",13798,"(+/- 1742 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",749219,"(+/- 17024 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",63694,"(+/- 3704 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",145026,"(+/- 7330 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",3212,"(+/- 990 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",489659,"(+/- 12400 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",26916,"(+/- 2911 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",114534,"(+/- 3678 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33566,"(+/- 2457 )"
People,"Residence 1 Year Ago","Population 1 year and over",744688,"(+/- 16646 )"
People,"Residence 1 Year Ago","Same house",681553,"(+/- 17509 )"
People,"Residence 1 Year Ago","Different house in the U.S.",53077,"(+/- 6631 )"
People,"Residence 1 Year Ago","Same county",36012,"(+/- 5156 )"
People,"Residence 1 Year Ago","Different county",17065,"(+/- 3149 )"
People,"Residence 1 Year Ago","Same state",12300,"(+/- 2405 )"
People,"Residence 1 Year Ago","Different state",4765,"(+/- 1492 )"
People,"Residence 1 Year Ago",Abroad,10058,"(+/- 2236 )"
Workers,"Employment Status","Population 16 years and over",625707,"(+/- 13434 )"
Workers,"Employment Status","In labor force",391821,"(+/- 11016 )"
Workers,"Employment Status","Civilian labor force",391501,"(+/- 10958 )"
Workers,"Employment Status",Employed,370630,"(+/- 9553 )"
Workers,"Employment Status",Unemployed,20871,"(+/- 2994 )"
Workers,"Employment Status","Armed Forces",320,"(+/- 263 )"
Workers,"Employment Status","Not in labor force",233886,"(+/- 7419 )"
Workers,"Employment Status","Civilian labor force",391501,"(+/- 10958 )"
Workers,"Employment Status","Unemployment Rate",5.3,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",359735,"(+/- 9755 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",111551,"(+/- 5741 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32310,"(+/- 3441 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",174081,"(+/- 7379 )"
Workers,"Commuting to Work",Walked,25930,"(+/- 3107 )"
Workers,"Commuting to Work","Other means",4628,"(+/- 1450 )"
Workers,"Commuting to Work","Worked at home",11235,"(+/- 2130 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",43.6,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",370630,"(+/- 9553 )"
Workers,Occupation,"Management, business, science, and arts occupations",138187,"(+/- 5354 )"
Workers,Occupation,"Service occupations",84964,"(+/- 4561 )"
Workers,Occupation,"Sales and office occupations",88003,"(+/- 4621 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",24902,"(+/- 2889 )"
Workers,Occupation,"Production, transportation, and material moving occupations",34574,"(+/- 3152 )"
Workers,Industry,"Civilian employed population 16 years and over",370630,"(+/- 9553 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",769,"(+/- 521 )"
Workers,Industry,Construction,23700,"(+/- 2844 )"
Workers,Industry,Manufacturing,14469,"(+/- 2463 )"
Workers,Industry,"Wholesale trade",9919,"(+/- 1813 )"
Workers,Industry,"Retail trade",37526,"(+/- 3727 )"
Workers,Industry,"Transportation and warehousing, and utilities",24292,"(+/- 2575 )"
