Topic,Subject,Title,"District 11 Estimate","District 11 MOE"
People,"Sex and Age","Total population",735452,"(+/- 11681 )"
People,"Sex and Age",Male,357647,"(+/- 6158 )"
People,"Sex and Age",Female,377805,"(+/- 6884 )"
People,"Sex and Age","Under 5 years",46536,"(+/- 2418 )"
People,"Sex and Age","5 to 9 years",45200,"(+/- 2947 )"
People,"Sex and Age","10 to 14 years",44069,"(+/- 3105 )"
People,"Sex and Age","15 to 19 years",41375,"(+/- 1930 )"
People,"Sex and Age","20 to 24 years",46296,"(+/- 2018 )"
People,"Sex and Age","25 to 34 years",104815,"(+/- 3402 )"
People,"Sex and Age","35 to 44 years",95656,"(+/- 2939 )"
People,"Sex and Age","45 to 54 years",101174,"(+/- 2594 )"
People,"Sex and Age","55 to 59 years",49470,"(+/- 2708 )"
People,"Sex and Age","60 to 64 years",46461,"(+/- 2627 )"
People,"Sex and Age","65 to 74 years",66527,"(+/- 1983 )"
People,"Sex and Age","75 to 84 years",32518,"(+/- 1899 )"
People,"Sex and Age","85 years and over",15355,"(+/- 1631 )"
People,"Sex and Age","Median age (years)",39.0,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",573621,"(+/- 8176 )"
People,"Sex and Age","65 years and over",114400,"(+/- 2920 )"
People,Race,"Total population",735452,"(+/- 11681 )"
People,Race,"One race",717080,"(+/- 11311 )"
People,Race,White,515460,"(+/- 10260 )"
People,Race,"Black or African American",54851,"(+/- 2743 )"
People,Race,"American Indian and Alaska Native",778,"(+/- 800 )"
People,Race,Asian,103796,"(+/- 6099 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1230,"(+/- 1021 )"
People,Race,"Some other race",40965,"(+/- 7428 )"
People,Race,"Two or more races",18372,"(+/- 3529 )"
People,"Hispanic or Latino and Race","Total population",735452,"(+/- 11681 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",126727,"(+/- 5548 )"
People,"Hispanic or Latino and Race",Mexican,35956,"(+/- 5748 )"
People,"Hispanic or Latino and Race","Puerto Rican",47931,"(+/- 4780 )"
People,"Hispanic or Latino and Race",Cuban,2561,"(+/- 983 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",40279,"(+/- 4285 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",608725,"(+/- 10822 )"
People,"Place of Birth","Total population",735452,"(+/- 11681 )"
People,"Place of Birth",Native,509516,"(+/- 11028 )"
People,"Place of Birth","Born in United States",492606,"(+/- 10341 )"
People,"Place of Birth","State of residence",455675,"(+/- 10285 )"
People,"Place of Birth","Different state",36931,"(+/- 3142 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",16910,"(+/- 2601 )"
People,"Place of Birth","Foreign born",225936,"(+/- 9710 )"
People,Ancestry,"Total population",735452,"(+/- 11681 )"
People,Ancestry,American,64710,"(+/- 6084 )"
People,Ancestry,Arab,31655,"(+/- 6223 )"
People,Ancestry,Czech,869,"(+/- 509 )"
People,Ancestry,Danish,481,"(+/- 340 )"
People,Ancestry,Dutch,1122,"(+/- 537 )"
People,Ancestry,English,8728,"(+/- 1717 )"
People,Ancestry,"French (except Basque)",3693,"(+/- 970 )"
People,Ancestry,"French Canadian",1223,"(+/- 623 )"
People,Ancestry,German,23582,"(+/- 3288 )"
People,Ancestry,Greek,9827,"(+/- 2182 )"
People,Ancestry,Hungarian,2334,"(+/- 819 )"
People,Ancestry,Irish,72687,"(+/- 6972 )"
People,Ancestry,Italian,172481,"(+/- 8574 )"
People,Ancestry,Lithuanian,1240,"(+/- 557 )"
People,Ancestry,Norwegian,5564,"(+/- 1623 )"
People,Ancestry,Polish,18678,"(+/- 3470 )"
People,Ancestry,Portuguese,1072,"(+/- 560 )"
People,Ancestry,Russian,26694,"(+/- 4382 )"
People,Ancestry,Scotch-Irish,1142,"(+/- 448 )"
People,Ancestry,Scottish,2527,"(+/- 810 )"
People,Ancestry,Slovak,784,"(+/- 534 )"
People,Ancestry,"Subsaharan African",8120,"(+/- 3018 )"
People,Ancestry,Swedish,2012,"(+/- 735 )"
People,Ancestry,Swiss,731,"(+/- 645 )"
People,Ancestry,Ukrainian,13925,"(+/- 3044 )"
People,Ancestry,Welsh,689,"(+/- 358 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",9748,"(+/- 2515 )"
People,"Veteran Status","Civilian population 18 years and over",573268,"(+/- 8152 )"
People,"Veteran Status","Civilian veterans",20219,"(+/- 1758 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",730723,"(+/- 11713 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",73764,"(+/- 3979 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",161758,"(+/- 5515 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4339,"(+/- 961 )"
