Topic,Subject,Title,"District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",794154,"(+/- 15868 )"
People,"Sex and Age",Male,382388,"(+/- 8860 )"
People,"Sex and Age",Female,411766,"(+/- 9569 )"
People,"Sex and Age","Under 5 years",49225,"(+/- 2636 )"
People,"Sex and Age","5 to 9 years",48298,"(+/- 3899 )"
People,"Sex and Age","10 to 14 years",50166,"(+/- 3728 )"
People,"Sex and Age","15 to 19 years",51336,"(+/- 2691 )"
People,"Sex and Age","20 to 24 years",58370,"(+/- 3333 )"
People,"Sex and Age","25 to 34 years",113159,"(+/- 5070 )"
People,"Sex and Age","35 to 44 years",99397,"(+/- 4525 )"
People,"Sex and Age","45 to 54 years",116527,"(+/- 4688 )"
People,"Sex and Age","55 to 59 years",54868,"(+/- 3283 )"
People,"Sex and Age","60 to 64 years",49430,"(+/- 3308 )"
People,"Sex and Age","65 to 74 years",59529,"(+/- 2512 )"
People,"Sex and Age","75 to 84 years",29494,"(+/- 2202 )"
People,"Sex and Age","85 years and over",14355,"(+/- 1608 )"
People,"Sex and Age","Median age (years)",37.3,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",615893,"(+/- 13089 )"
People,"Sex and Age","65 years and over",103378,"(+/- 3331 )"
People,Race,"Total population",794154,"(+/- 15868 )"
People,Race,"One race",763603,"(+/- 16321 )"
People,Race,White,140669,"(+/- 9189 )"
People,Race,"Black or African American",387596,"(+/- 9535 )"
People,Race,"American Indian and Alaska Native",4694,"(+/- 1691 )"
People,Race,Asian,115142,"(+/- 9185 )"
People,Race,"Native Hawaiian and Other Pacific Islander",546,"(+/- 448 )"
People,Race,"Some other race",114956,"(+/- 10628 )"
People,Race,"Two or more races",30551,"(+/- 4774 )"
People,"Hispanic or Latino and Race","Total population",794154,"(+/- 15868 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",157587,"(+/- 10783 )"
People,"Hispanic or Latino and Race",Mexican,9938,"(+/- 4011 )"
People,"Hispanic or Latino and Race","Puerto Rican",41099,"(+/- 6090 )"
People,"Hispanic or Latino and Race",Cuban,2191,"(+/- 1149 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",104359,"(+/- 9019 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",636567,"(+/- 14455 )"
People,"Place of Birth","Total population",794154,"(+/- 15868 )"
People,"Place of Birth",Native,460336,"(+/- 13053 )"
People,"Place of Birth","Born in United States",441230,"(+/- 12382 )"
People,"Place of Birth","State of residence",398367,"(+/- 12112 )"
People,"Place of Birth","Different state",42863,"(+/- 3400 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",19106,"(+/- 2208 )"
People,"Place of Birth","Foreign born",333818,"(+/- 11552 )"
People,Ancestry,"Total population",794154,"(+/- 15868 )"
People,Ancestry,American,23521,"(+/- 3849 )"
People,Ancestry,Arab,4073,"(+/- 2221 )"
People,Ancestry,Czech,156,"(+/- 161 )"
People,Ancestry,Danish,68,"(+/- 83 )"
People,Ancestry,Dutch,668,"(+/- 510 )"
People,Ancestry,English,2970,"(+/- 1088 )"
People,Ancestry,"French (except Basque)",1984,"(+/- 677 )"
People,Ancestry,"French Canadian",112,"(+/- 128 )"
People,Ancestry,German,12166,"(+/- 2922 )"
People,Ancestry,Greek,2276,"(+/- 1364 )"
People,Ancestry,Hungarian,1140,"(+/- 561 )"
People,Ancestry,Irish,19947,"(+/- 3422 )"
People,Ancestry,Italian,18776,"(+/- 2870 )"
People,Ancestry,Lithuanian,419,"(+/- 493 )"
People,Ancestry,Norwegian,301,"(+/- 297 )"
People,Ancestry,Polish,6416,"(+/- 1667 )"
People,Ancestry,Portuguese,1667,"(+/- 622 )"
People,Ancestry,Russian,3610,"(+/- 1459 )"
People,Ancestry,Scotch-Irish,694,"(+/- 629 )"
People,Ancestry,Scottish,972,"(+/- 542 )"
People,Ancestry,Slovak,274,"(+/- 395 )"
People,Ancestry,"Subsaharan African",15419,"(+/- 4084 )"
People,Ancestry,Swedish,766,"(+/- 909 )"
People,Ancestry,Swiss,109,"(+/- 179 )"
People,Ancestry,Ukrainian,1185,"(+/- 1116 )"
People,Ancestry,Welsh,119,"(+/- 120 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",158548,"(+/- 10370 )"
