Topic,Subject,Title,"District 13 Estimate","District 13 MOE"
People,"Sex and Age","Total population",812752,"(+/- 17642 )"
People,"Sex and Age",Male,390380,"(+/- 10325 )"
People,"Sex and Age",Female,422372,"(+/- 10635 )"
People,"Sex and Age","Under 5 years",51146,"(+/- 3556 )"
People,"Sex and Age","5 to 9 years",42401,"(+/- 3841 )"
People,"Sex and Age","10 to 14 years",46073,"(+/- 3600 )"
People,"Sex and Age","15 to 19 years",44505,"(+/- 3357 )"
People,"Sex and Age","20 to 24 years",65794,"(+/- 3776 )"
People,"Sex and Age","25 to 34 years",165486,"(+/- 6710 )"
People,"Sex and Age","35 to 44 years",110285,"(+/- 5692 )"
People,"Sex and Age","45 to 54 years",103699,"(+/- 4635 )"
People,"Sex and Age","55 to 59 years",44932,"(+/- 3134 )"
People,"Sex and Age","60 to 64 years",41526,"(+/- 3656 )"
People,"Sex and Age","65 to 74 years",54198,"(+/- 2788 )"
People,"Sex and Age","75 to 84 years",29916,"(+/- 3075 )"
People,"Sex and Age","85 years and over",12791,"(+/- 1926 )"
People,"Sex and Age","Median age (years)",34.4,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",645831,"(+/- 13523 )"
People,"Sex and Age","65 years and over",96905,"(+/- 3961 )"
People,Race,"Total population",812752,"(+/- 17642 )"
People,Race,"One race",756192,"(+/- 19395 )"
People,Race,White,232672,"(+/- 14770 )"
People,Race,"Black or African American",241085,"(+/- 10611 )"
People,Race,"American Indian and Alaska Native",2866,"(+/- 1220 )"
People,Race,Asian,37534,"(+/- 5207 )"
People,Race,"Native Hawaiian and Other Pacific Islander",853,"(+/- 827 )"
People,Race,"Some other race",241182,"(+/- 17987 )"
People,Race,"Two or more races",56560,"(+/- 9182 )"
People,"Hispanic or Latino and Race","Total population",812752,"(+/- 17642 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",441941,"(+/- 14409 )"
People,"Hispanic or Latino and Race",Mexican,64717,"(+/- 11861 )"
People,"Hispanic or Latino and Race","Puerto Rican",89186,"(+/- 9761 )"
People,"Hispanic or Latino and Race",Cuban,6963,"(+/- 2204 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",281075,"(+/- 15351 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",370811,"(+/- 10855 )"
People,"Place of Birth","Total population",812752,"(+/- 17642 )"
People,"Place of Birth",Native,500972,"(+/- 15269 )"
People,"Place of Birth","Born in United States",465901,"(+/- 14340 )"
People,"Place of Birth","State of residence",365062,"(+/- 13822 )"
People,"Place of Birth","Different state",100839,"(+/- 6779 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",35071,"(+/- 3950 )"
People,"Place of Birth","Foreign born",311780,"(+/- 15125 )"
People,Ancestry,"Total population",812752,"(+/- 17642 )"
People,Ancestry,American,20593,"(+/- 3875 )"
People,Ancestry,Arab,7705,"(+/- 3266 )"
People,Ancestry,Czech,850,"(+/- 537 )"
People,Ancestry,Danish,697,"(+/- 409 )"
People,Ancestry,Dutch,1563,"(+/- 779 )"
People,Ancestry,English,9378,"(+/- 1611 )"
People,Ancestry,"French (except Basque)",5218,"(+/- 1650 )"
People,Ancestry,"French Canadian",1360,"(+/- 687 )"
People,Ancestry,German,17581,"(+/- 2631 )"
People,Ancestry,Greek,1927,"(+/- 906 )"
People,Ancestry,Hungarian,1297,"(+/- 712 )"
People,Ancestry,Irish,20715,"(+/- 2834 )"
People,Ancestry,Italian,15270,"(+/- 2417 )"
People,Ancestry,Lithuanian,468,"(+/- 465 )"
People,Ancestry,Norwegian,1436,"(+/- 589 )"
People,Ancestry,Polish,6954,"(+/- 1758 )"
People,Ancestry,Portuguese,1216,"(+/- 681 )"
People,Ancestry,Russian,6426,"(+/- 1670 )"
People,Ancestry,Scotch-Irish,1692,"(+/- 960 )"
People,Ancestry,Scottish,2768,"(+/- 795 )"
People,Ancestry,Slovak,339,"(+/- 323 )"
People,Ancestry,"Subsaharan African",29289,"(+/- 6188 )"
People,Ancestry,Swedish,1176,"(+/- 540 )"
People,Ancestry,Swiss,445,"(+/- 370 )"
People,Ancestry,Ukrainian,2195,"(+/- 1588 )"
People,Ancestry,Welsh,893,"(+/- 498 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",26033,"(+/- 4449 )"
People,"Veteran Status","Civilian population 18 years and over",645756,"(+/- 13508 )"
People,"Veteran Status","Civilian veterans",9850,"(+/- 2040 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",806393,"(+/- 17938 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",103667,"(+/- 7318 )"
