Topic,Subject,Title,"District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",723377,"(+/- 13136 )"
People,"Sex and Age",Male,348339,"(+/- 7526 )"
People,"Sex and Age",Female,375038,"(+/- 7457 )"
People,"Sex and Age","Under 5 years",39985,"(+/- 3064 )"
People,"Sex and Age","5 to 9 years",46094,"(+/- 2957 )"
People,"Sex and Age","10 to 14 years",45739,"(+/- 3212 )"
People,"Sex and Age","15 to 19 years",50798,"(+/- 2622 )"
People,"Sex and Age","20 to 24 years",48198,"(+/- 2559 )"
People,"Sex and Age","25 to 34 years",88033,"(+/- 4358 )"
People,"Sex and Age","35 to 44 years",86783,"(+/- 4136 )"
People,"Sex and Age","45 to 54 years",104225,"(+/- 3981 )"
People,"Sex and Age","55 to 59 years",51565,"(+/- 3557 )"
People,"Sex and Age","60 to 64 years",43052,"(+/- 3091 )"
People,"Sex and Age","65 to 74 years",65421,"(+/- 2510 )"
People,"Sex and Age","75 to 84 years",32295,"(+/- 2426 )"
People,"Sex and Age","85 years and over",21189,"(+/- 2073 )"
People,"Sex and Age","Median age (years)",40.3,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",560498,"(+/- 9487 )"
People,"Sex and Age","65 years and over",118905,"(+/- 3267 )"
People,Race,"Total population",723377,"(+/- 13136 )"
People,Race,"One race",693297,"(+/- 13769 )"
People,Race,White,468263,"(+/- 11636 )"
People,Race,"Black or African American",105446,"(+/- 6695 )"
People,Race,"American Indian and Alaska Native",1163,"(+/- 864 )"
People,Race,Asian,49056,"(+/- 5068 )"
People,Race,"Native Hawaiian and Other Pacific Islander",161,"(+/- 181 )"
People,Race,"Some other race",69208,"(+/- 7881 )"
People,Race,"Two or more races",30080,"(+/- 5328 )"
People,"Hispanic or Latino and Race","Total population",723377,"(+/- 13136 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",150844,"(+/- 8072 )"
People,"Hispanic or Latino and Race",Mexican,5970,"(+/- 2777 )"
People,"Hispanic or Latino and Race","Puerto Rican",22701,"(+/- 4093 )"
People,"Hispanic or Latino and Race",Cuban,2827,"(+/- 1055 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",119346,"(+/- 8458 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",572533,"(+/- 11839 )"
People,"Place of Birth","Total population",723377,"(+/- 13136 )"
People,"Place of Birth",Native,561188,"(+/- 12187 )"
People,"Place of Birth","Born in United States",550029,"(+/- 11964 )"
People,"Place of Birth","State of residence",504462,"(+/- 11447 )"
People,"Place of Birth","Different state",45567,"(+/- 4037 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11159,"(+/- 2198 )"
People,"Place of Birth","Foreign born",162189,"(+/- 9854 )"
People,Ancestry,"Total population",723377,"(+/- 13136 )"
People,Ancestry,American,27894,"(+/- 4034 )"
People,Ancestry,Arab,2703,"(+/- 1128 )"
People,Ancestry,Czech,1909,"(+/- 743 )"
People,Ancestry,Danish,743,"(+/- 484 )"
People,Ancestry,Dutch,2198,"(+/- 972 )"
People,Ancestry,English,17082,"(+/- 2402 )"
People,Ancestry,"French (except Basque)",6723,"(+/- 1498 )"
People,Ancestry,"French Canadian",1482,"(+/- 686 )"
People,Ancestry,German,59947,"(+/- 5791 )"
People,Ancestry,Greek,9093,"(+/- 3323 )"
People,Ancestry,Hungarian,5622,"(+/- 1906 )"
People,Ancestry,Irish,95810,"(+/- 8221 )"
People,Ancestry,Italian,122434,"(+/- 7729 )"
People,Ancestry,Lithuanian,1610,"(+/- 817 )"
People,Ancestry,Norwegian,2142,"(+/- 1161 )"
People,Ancestry,Polish,32656,"(+/- 5660 )"
People,Ancestry,Portuguese,4245,"(+/- 1633 )"
People,Ancestry,Russian,30426,"(+/- 5386 )"
People,Ancestry,Scotch-Irish,1782,"(+/- 1234 )"
People,Ancestry,Scottish,3579,"(+/- 851 )"
People,Ancestry,Slovak,816,"(+/- 416 )"
