Topic,Subject,Title,"District 21 Estimate","District 21 MOE"
People,"Sex and Age","Total population",711798,"(+/- 3688 )"
People,"Sex and Age",Male,361270,"(+/- 2855 )"
People,"Sex and Age",Female,350528,"(+/- 2850 )"
People,"Sex and Age","Under 5 years",38129,"(+/- 1204 )"
People,"Sex and Age","5 to 9 years",40190,"(+/- 2234 )"
People,"Sex and Age","10 to 14 years",40118,"(+/- 2008 )"
People,"Sex and Age","15 to 19 years",47661,"(+/- 1598 )"
People,"Sex and Age","20 to 24 years",52890,"(+/- 1625 )"
People,"Sex and Age","25 to 34 years",89774,"(+/- 2600 )"
People,"Sex and Age","35 to 44 years",79434,"(+/- 1984 )"
People,"Sex and Age","45 to 54 years",100203,"(+/- 2112 )"
People,"Sex and Age","55 to 59 years",51435,"(+/- 2251 )"
People,"Sex and Age","60 to 64 years",49493,"(+/- 2354 )"
People,"Sex and Age","65 to 74 years",71277,"(+/- 1483 )"
People,"Sex and Age","75 to 84 years",35892,"(+/- 1766 )"
People,"Sex and Age","85 years and over",15302,"(+/- 1677 )"
People,"Sex and Age","Median age (years)",40.6,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",567428,"(+/- 3028 )"
People,"Sex and Age","65 years and over",122471,"(+/- 1735 )"
People,Race,"Total population",711798,"(+/- 3688 )"
People,Race,"One race",697410,"(+/- 4066 )"
People,Race,White,654596,"(+/- 4171 )"
People,Race,"Black or African American",21246,"(+/- 1675 )"
People,Race,"American Indian and Alaska Native",5818,"(+/- 1458 )"
People,Race,Asian,8523,"(+/- 1387 )"
People,Race,"Native Hawaiian and Other Pacific Islander",292,"(+/- 212 )"
People,Race,"Some other race",6935,"(+/- 1312 )"
People,Race,"Two or more races",14388,"(+/- 1663 )"
People,"Hispanic or Latino and Race","Total population",711798,"(+/- 3688 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",24257,"(+/- 999 )"
People,"Hispanic or Latino and Race",Mexican,4792,"(+/- 1181 )"
People,"Hispanic or Latino and Race","Puerto Rican",10867,"(+/- 1285 )"
People,"Hispanic or Latino and Race",Cuban,851,"(+/- 480 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7747,"(+/- 1215 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",687541,"(+/- 3709 )"
People,"Place of Birth","Total population",711798,"(+/- 3688 )"
People,"Place of Birth",Native,687723,"(+/- 4056 )"
People,"Place of Birth","Born in United States",678051,"(+/- 3885 )"
People,"Place of Birth","State of residence",556175,"(+/- 6246 )"
People,"Place of Birth","Different state",121876,"(+/- 4998 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9672,"(+/- 1595 )"
People,"Place of Birth","Foreign born",24075,"(+/- 2644 )"
People,Ancestry,"Total population",711798,"(+/- 3688 )"
People,Ancestry,American,56581,"(+/- 4811 )"
People,Ancestry,Arab,2080,"(+/- 787 )"
People,Ancestry,Czech,2057,"(+/- 722 )"
People,Ancestry,Danish,1810,"(+/- 671 )"
People,Ancestry,Dutch,18889,"(+/- 2291 )"
People,Ancestry,English,77167,"(+/- 4298 )"
People,Ancestry,"French (except Basque)",82572,"(+/- 5075 )"
People,Ancestry,"French Canadian",32029,"(+/- 3192 )"
People,Ancestry,German,94396,"(+/- 6274 )"
People,Ancestry,Greek,1360,"(+/- 499 )"
People,Ancestry,Hungarian,3401,"(+/- 938 )"
People,Ancestry,Irish,131539,"(+/- 6701 )"
People,Ancestry,Italian,71459,"(+/- 5505 )"
People,Ancestry,Lithuanian,1353,"(+/- 450 )"
People,Ancestry,Norwegian,4326,"(+/- 1211 )"
People,Ancestry,Polish,27403,"(+/- 3098 )"
People,Ancestry,Portuguese,1920,"(+/- 941 )"
People,Ancestry,Russian,4429,"(+/- 1545 )"
People,Ancestry,Scotch-Irish,7347,"(+/- 1802 )"
People,Ancestry,Scottish,19416,"(+/- 2563 )"
People,Ancestry,Slovak,1893,"(+/- 675 )"
People,Ancestry,"Subsaharan African",3829,"(+/- 858 )"
People,Ancestry,Swedish,5240,"(+/- 1275 )"
People,Ancestry,Swiss,1763,"(+/- 627 )"
People,Ancestry,Ukrainian,2012,"(+/- 803 )"
People,Ancestry,Welsh,7045,"(+/- 1491 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2090,"(+/- 789 )"
People,"Veteran Status","Civilian population 18 years and over",556948,"(+/- 3458 )"
People,"Veteran Status","Civilian veterans",50531,"(+/- 2345 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",678466,"(+/- 4347 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",107558,"(+/- 3971 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",143653,"(+/- 2253 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9376,"(+/- 1526 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",416060,"(+/- 3548 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54262,"(+/- 3225 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",118753,"(+/- 1904 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43920,"(+/- 2466 )"
People,"Residence 1 Year Ago","Population 1 year and over",705284,"(+/- 3731 )"
People,"Residence 1 Year Ago","Same house",608702,"(+/- 6082 )"
People,"Residence 1 Year Ago","Different house in the U.S.",93719,"(+/- 4909 )"
People,"Residence 1 Year Ago","Same county",49880,"(+/- 3935 )"
People,"Residence 1 Year Ago","Different county",43839,"(+/- 3524 )"
People,"Residence 1 Year Ago","Same state",28741,"(+/- 2498 )"
People,"Residence 1 Year Ago","Different state",15098,"(+/- 2503 )"
People,"Residence 1 Year Ago",Abroad,2863,"(+/- 907 )"
Workers,"Employment Status","Population 16 years and over",584844,"(+/- 3241 )"
Workers,"Employment Status","In labor force",344461,"(+/- 5241 )"
Workers,"Employment Status","Civilian labor force",333981,"(+/- 5242 )"
Workers,"Employment Status",Employed,313911,"(+/- 5361 )"
Workers,"Employment Status",Unemployed,20070,"(+/- 2258 )"
Workers,"Employment Status","Armed Forces",10480,"(+/- 1221 )"
Workers,"Employment Status","Not in labor force",240383,"(+/- 5335 )"
Workers,"Employment Status","Civilian labor force",333981,"(+/- 5242 )"
Workers,"Employment Status","Unemployment Rate",6.0,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",317013,"(+/- 5394 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",256075,"(+/- 5898 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",27084,"(+/- 3096 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1526,"(+/- 508 )"
Workers,"Commuting to Work",Walked,14309,"(+/- 1635 )"
Workers,"Commuting to Work","Other means",6249,"(+/- 1427 )"
Workers,"Commuting to Work","Worked at home",11770,"(+/- 1581 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.2,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",313911,"(+/- 5361 )"
Workers,Occupation,"Management, business, science, and arts occupations",101594,"(+/- 4199 )"
Workers,Occupation,"Service occupations",65882,"(+/- 3537 )"
Workers,Occupation,"Sales and office occupations",71912,"(+/- 3941 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36373,"(+/- 2636 )"
Workers,Occupation,"Production, transportation, and material moving occupations",38150,"(+/- 3075 )"
Workers,Industry,"Civilian employed population 16 years and over",313911,"(+/- 5361 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9131,"(+/- 1375 )"
Workers,Industry,Construction,22525,"(+/- 2121 )"
Workers,Industry,Manufacturing,28353,"(+/- 2543 )"
Workers,Industry,"Wholesale trade",5658,"(+/- 1334 )"
Workers,Industry,"Retail trade",41485,"(+/- 3628 )"
Workers,Industry,"Transportation and warehousing, and utilities",13842,"(+/- 1563 )"
Workers,Industry,Information,4630,"(+/- 947 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",12579,"(+/- 1505 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",22299,"(+/- 2175 )"
Workers,Industry,"Educational services, and health care and social assistance",84007,"(+/- 3675 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",31769,"(+/- 3124 )"
Workers,Industry,"Other services, except public administration",13059,"(+/- 1536 )"
Workers,Industry,"Public administration",24574,"(+/- 2239 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",313911,"(+/- 5361 )"
Workers,"Class of Worker","Private wage and salary workers",226550,"(+/- 6121 )"
Workers,"Class of Worker","Government workers",65482,"(+/- 3417 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20823,"(+/- 2033 )"
Workers,"Class of Worker","Unpaid family workers",1056,"(+/- 644 )"
Housing,"Housing Occupancy","Total housing units",375306,"(+/- 2353 )"
Housing,"Housing Occupancy","Occupied housing units",277069,"(+/- 4448 )"
Housing,"Housing Occupancy","Vacant housing units",98237,"(+/- 3821 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.8,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.3,"(+/- 1.6 )"
Housing,"Housing Tenure","Occupied housing units",277069,"(+/- 4448 )"
Housing,"Housing Tenure",Owner-occupied,195392,"(+/- 3815 )"
Housing,"Housing Tenure",Renter-occupied,81677,"(+/- 3975 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.48,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.26,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",277069,"(+/- 4448 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",43446,"(+/- 2848 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",68072,"(+/- 3553 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",66810,"(+/- 3052 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",41095,"(+/- 2449 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",26865,"(+/- 1853 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",30781,"(+/- 2090 )"
Housing,Value,"Owner-occupied units",195392,"(+/- 3815 )"
Housing,Value,"Less than $50,000",19187,"(+/- 2103 )"
Housing,Value,"$50,000 to $99,999",44882,"(+/- 2509 )"
Housing,Value,"$100,000 to $149,999",39895,"(+/- 2588 )"
Housing,Value,"$150,000 to $199,999",32985,"(+/- 2257 )"
Housing,Value,"$200,000 to $299,999",33221,"(+/- 2543 )"
Housing,Value,"$300,000 to $499,999",17904,"(+/- 1561 )"
Housing,Value,"$500,000 to $999,999",5407,"(+/- 849 )"
Housing,Value,"$1,000,000 or more",1911,"(+/- 601 )"
Housing,Value,"Median (dollars)",141400,"(+/- 3977 )"
Housing,"Mortgage Status","Owner-occupied units",195392,"(+/- 3815 )"
Housing,"Mortgage Status","Housing units with a mortgage",106163,"(+/- 3859 )"
Housing,"Mortgage Status","Housing units without a mortgage",89229,"(+/- 3676 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",106163,"(+/- 3859 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2054,"(+/- 614 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",32261,"(+/- 2410 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",38522,"(+/- 2685 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19309,"(+/- 1700 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",7367,"(+/- 1228 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",3261,"(+/- 749 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",3389,"(+/- 739 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1228,"(+/- 27 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",89229,"(+/- 3676 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",11012,"(+/- 1352 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",24460,"(+/- 2098 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",30358,"(+/- 2373 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",13452,"(+/- 1419 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5597,"(+/- 940 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4350,"(+/- 889 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",450,"(+/- 9 )"
Housing,"Gross Rent","Occupied units paying rent",75831,"(+/- 3928 )"
Housing,"Gross Rent","Less than $500",10460,"(+/- 1443 )"
